Tipo,Pregunta,A,B,C,D,Respuesta,Fuente,Columna 1
alternativa,¿CÓMO SE DEBE ESTACIONAR UN VEHÍCULO LIVIANO A LA IZQUIERDA Y DERECHA DE UN CAEX?,A 7 MTS DE DISTANCIA POR LA IZQUIERDA Y A 30 MTS DE DISTANCIA POR LA DERECHA,A 5 MTS DE DISTANCIA POR LA IZQUIERDA Y A 20 MTS DE DISTANCIA POR LA DERECHA,A 5 MTS DE DISTANCIA POR LA IZQUIERDA Y A 5 MTS DE DISTANCIA POR LA DERECHA,A 20 MTS DE DISTANCIA POR LA IZQUIERDA Y A 5 MTS DE DISTANCIA POR LA DERECHA,A,REG_INT_TRANS,
alternativa,¿CON QUÉ FIN SE REPROGRAMAN LAS ACTIVIDADES EN ALERTA 2 EN INVIERNO ALTIPLÁNICO?,CON EL FIN DE DISMINUIR LA AFLUENCIA DE PERSONAS EN ZONAS DE INTEMPERIE,CON EL FIN DE DISMINUIR LA COFLUENCIA DE PERSONAS EN ZONAS DE INTEMPERIE,CON EL FIN DE DISMINUIR LA INFLUENCIA DE PERSONAS EN ZONAS DE INTEMPERIE,CON EL FIN DE DISMINUIR LA FLUENCIA DE PERSONAS EN ZONAS DE INTEMPERIE,A,OP_INV,
alternativa,¿CUÁL ES EL LADO MENOS APROPIADO PARA ESTACIONAR CERCA DE UNA RETROEXCAVADORA?,ADELANTE Y ATRÁS,ADELANTE,ATRÁS,EN AMBOS COSTADOS,A,REG_INT_TRANS,
alternativa,¿CUÁL ES LA FRECUENCIA DE LA P1?,OPICV,ROSARIO SUR,OP INV,ALTO ROSARIO,A,EPF,
alternativa,¿CUÁLES SON LOS CÓDIGOS DE EMERGENCIA?,"1 LESIÓN A LAS PERSONAS O DAÑOS AL EQUIPO, 2 INCENDIO, 3 DAÑO AMBIENTAL, 4 ACCIDENTE FUERA DE FAENA","1 ACCIDENTE FUERA DE FAENA, 2 INCENDIO, 3 DAÑO AMBIENTAL, 4  LESIÓN A LAS PERSONAS O DAÑOS AL EQUIPO","1  DAÑO AMBIENTAL, 2 INCENDIO, 3ACCIDENTE FUERA DE FAENA, 4  LESIÓN A LAS PERSONAS O DAÑOS AL EQUIPO","1 INCENDIO, 2 LESIÓN A LAS PERSONAS O DAÑOS AL EQUIPO, 3ACCIDENTE FUERA DE FAENA, 4  DAÑO AMBIENTAL",A,REG_INT_TRANS,
alternativa,¿CUÁNTO TIEMPO DE VIDA ÚTIL O KILOMETRÁJE DEBE CUMPLIR UNA CAMIONETA EN LA MINA?,"5 AÑOS Y 80 MIL KMS EN SERVICIO PERMANENTE, 100 MIL KMS EN SERVICIO ESPORÁDICO","10 AÑOS Y 80 MIL KMS EN SERVICIO PERMANENTE, 100 MIL KMS EN SERVICIO ESPORÁDICO","5 AÑOS Y 100 MIL KMS EN SERVICIO PERMANENTE, 80 MIL KMS EN SERVICIO ESPORÁDICO","10 AÑOS Y 100 MIL KMS EN SERVICIO PERMANENTE, 80 MIL KMS EN SERVICIO ESPORÁDICO",A,REG_INT_TRANS,
alternativa,¿CUÁNTOS NEUMÁTICOS DE REPUESTO DEBE TENER LA CAMIONETA?,2 NEUMÁTICOS DE REPUESTO,1 NEUMÁTICO DE REPUESTO,3 NEUMÁTICOS DE REPUESTO,NINGUNA DE LAS ANTERIORES,A,REG_INT_TRANS,
alternativa,¿EL AREA DE CARGUÍO ESTÁ DEFINIDA POR LOS 50 MTS ALREDEDOR DEL EQUIPO DE CARGUÍO Y POR?,LOS PASACABLES,LOS AÉREOS,LOS EQUIPOS DE APOYO,LOS CAEX,A,REG_INT_TRANS,
alternativa,"¿EN CASO DE QUEDAR EN PANNE EN LA MINA, A QUIÉN LE DEBO AVISAR PRIMERO?",AL COORDINADOR RADIAL,AL JEFE TURNO,AL SUPERVISOR,A NADIE,A,REG_INT_TRANS,
alternativa,"¿ESTÁ UN CAEX DETENIDO EN UNA RAMPA POSITIVA SIN OBSTÁCULOS A 100 MTS ALREDEDOR, CUÁL SERÍA SU PRIMERA OPCIÓN PARA ESTACIONARSE EN SU CAMIONETA?",ADELANTE A 8 MTS DE DISTANCIA,ADELANTE A 50 MTS DE DISTANCIA,ATRÁS A 8 MTS DE DISTANCIA,ATRÁS A 50 MTS DE DISTANCIA,A,REG_INT_TRANS,
alternativa,¿FRECUENCIA DEL BOTADERO ESCUELITA?,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,A,EPF,
alternativa,¿FRECUENCIA DEL BOTADERO FUSIBLE?,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OPICV,A,EPF,
alternativa,¿LA CAMIONETA ES ZONA?,ES ZONA SEGURA,ES ZONA PROTEGIDA,ES ZONA PERMANENTE,ES ZONA INTEMPERIE,A,OP_INV,
alternativa,"¿PARA INGRESAR A LA MINA POR LAS BARRERAS, QUÉ FRECUENCIA SE UTILIZA?",ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OPICV,A,EPF,
alternativa,¿POR DÓNDE SE INGRESA Y SE SALE DE LA MINA?,POR LOS CAMBIOS DE VÍA,POR LOS CIRCUITOS,POR LOS ACCESOS INTERMEDIOS,POR EL CRUCE MINERO,A,REG_INT_TRANS,
alternativa,¿PREFERENCIA DE EQUIPOS Y VEHÍCULOS EN CRUCES NO REGULADOS? (REGLAMENTO INTERNO DE TRÁNSITO).,REGADOR,CAMIÓN LUBRICADOR,CAMIÓN POLVORÍN,MOTONIVELADORA,A,REG_INT_TRANS,
alternativa,¿QUÉ EPF SE UTILIZAN EN LA MINA?,LOS 8 EPF,"EPF 1, 3 Y 8","EPF 1, 5, 7","EPF 2, 5 Y 8",A,EPF,
alternativa,¿QUÉ FRECUENCIA CORRESPONDE AL STOCK SBL? (BAJA LOW).,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,A,EPF,
alternativa,¿QUÉ INDICAN LAS SIGLAS RE EN LA PANTALLA ALFANUMÉRICA DE UN CAEX?,RESTRICCIÓN,REPARACIÓN,REINDUCCIÓN,RESERVA,A,REG_INT_TRANS,
alternativa,¿QUÉ TIPO DE EXTINTOR DEBE USAR UNA CAMIONETA?,ABC,A,B,C,A,EXTINTORES,
alternativa,¿QUIÉN DEFINIRÁ LA CONTINUIDAD DE ACTIVIDADES SEGÚN SU PLANIFICACIÓN Y REQUERIMIENTOS EN ALERTA 1 O AZUL EN INVIERNO ALTIPLÁNICO?,LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,CENTRAL COLLAHUASI,A,OP_INV,
alternativa,¿QUIÉN ES EL ENCARGADO DE LA MANTENCIÓN E IMPLEMENTACIÓN DE LAS ZONAS SEGURAS?,VICEPRESIDENCIA MINA Y GERENCIA CMDIC,LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,A,OP_INV,
alternativa,¿VELOCIDAD MÁXIMA EN LA QUE SE PUEDE CIRCULAR AL INTERIOR DEL ÁREA DE MANTENCIÓN? (TALLERES).,A 5 KMS POR HORA,A 15 KMS POR HORA,A 10 KMS POR HORA,A 20 KMS POR HORA,A,REG_CARGIO,
alternativa,APROXIMACIÓN DE TORMENTA ELÉCTRICA EN UN ÁREA ESPECÍFICA,"ALERTA 3 NARANJA, INVIERNO ALTIPLÁNICO","ALERTA 3 AMARILLA, INVIERNO ALTIPLÁNICO","ALERTA 3 NARANJA, INVIERNO CONTINENTAL","ALERTA 3 AMARILLA, INVIERNO CONTINENTAL",A,OP_INV,
alternativa,"ATROPELLAR FAUNA SILVESTRE PROTEGIDA SIN DAR CUENTA DE LOS HECHOS EN FORMA OPORTUNA, ES CONSIDERADO UNA INFRACCIÓN DE CARÁCTER:",GRAVÍSIMA,MUY GRAVE,GRAVE,LEVE,A,REG_INT_TRANS,
alternativa,"CORDÓN DE MATERIAL DE UNA ALTURA DE 2/3 RESPECTO A LA ALTURA DEL NEUMÁTICO MAYOR DE CAEX RODANDO, CONSTRUIDO PARA DEFINIR ANCHOS DE CAMINOS QUE ADEMÁS SIRVE COMO PARAPETO.",PRETIL DE TRÁNSITO,PETRIL DE SEGURIDAD,PETRIL DE ESTACIONAMIENTO,NINGUNA DE LAS ANTERIORES,A,REG_CARGIO,
alternativa,"CUANDO UN VEHÍCULO O EQUIPO QUEDA EN PANNE EN EL ÁREA MINA, EL CONDUCTOR U OPERADOR DEBE INFORMAR DE LA SITUACIÓN A:",COORDINADOR RADIAL,JEFE TURNO,SUPERVISOR,NINGUNA DELAS ANTERIORES,A,REG_INT_TRANS,
alternativa,"EL BOTADERO ESCUELITA, ¿QUÉ FRECUENCIA UTILIZA?",ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,A,EPF,
alternativa,EL PRETIL DE REFERENCIA DE UN BOTADERO DEBE TENER UNA ALTURA DE:,SOBRE LOS 2 METROS,"SOBRE LOS 2,5 METROS",2/3 DE LA ALTURA DEL NEUMÁTICO DEL CAEX,SOBRE LOS 3 METROS,A,REG_CARGIO,
alternativa,"EN ESTAS ÁREAS LAS PERSONAS PUEDEN REALIZAR ACTIVIDADES LIMITADAS CON UN NIVEL BAJO DE EXPOSICIÓN AL RIESGO TEMPORAL, ESTE ENUNCIADO CORRESPONDE A:",ZONA PROTEGIDA,ZONA SEGURA,INTERPEIRE,NINGUNA DE LAS ANTERIORES,A,OP_INV,
alternativa,"EN RAMPA EX CAPELLA (CAPELA ANTIGUA), ¿CUÁL ES LA FRECUENCIA?",ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,A,EPF,
alternativa,"EN UN CRUCE NO REGULADO, LLEGAN 2 VEHÍCULOS DE LAS MISMAS CARACTERÍSTICAS, ¿QUIÉN TIENE LA PREFERENCIA?",EL QUE LLEGA POR LA IZQUIERDA,EL QUE SE ACERCA POR LA DERECHA,EL QUE LLEGA PRIMERO,NINGUNA DE LAS ANTERIORES,A,REG_INT_TRANS,
alternativa,FRECUENCIA DE BOTADERO O RAMPA QB2?,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,A,EPF,
alternativa,FRECUENCIA EN SECTOR DE CHANCADO 3?,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,A,EPF,
alternativa,"LA PRIORIDAD DE UBICACIÓN DEL VEHÍCULO A ESTACIONARSE, SE DA POR UNA CONDICIÓN DE SEGURIDAD, EN CUANTO A LA VISUAL DEL OPERADOR DE LA EXCAVADORA. LA PRIMERA OPCIÓN ES:",LA IZQUIERDA DE LA EXCAVADORA,LA DERECHA DE LA EXCAVADORA,ADELANTE DE LA EXCAVADORA,ATRÁS DE LA EXCAVADORA,A,REG_INT_TRANS,
alternativa,LOS EQUIPOS MÓVILES DE SUPERFICIE SON AQUELLOS QUE TIENEN UNA MASA BRUTA DE:,SOBRE 4.500 KG.,BAJO 4.500 KG.,SOBRE 3.500 KG.,BAJO 3.500 KG.,A,REG_CARGIO,
alternativa,MENCIONE EL PROCEDIMIENTO DE UN REQUERIMIENTO DEL EPF 1.,USO DEL CINTURÓN DE SEGURIDAD,CONDUCIR A EXCESO DE VELOCIDAD,FATIGA Y SOMNOLENCIA,MANEJO DESCUIDADO,A,EPF,
alternativa,"NO SE PERMITE EL DESPLAZAMIENTO DE PERSONAS MIENTRAS LA NUBE DE LA TORMENTA NO SE RETIRE DE LA ZONA Y ESTA QUEDE BAJO ALERTA NARANJA O AMARILLA, ESTE ENUNCIADO PERTENECE A:",ALERTA 4 INVIERNO ALTIPLÁNICO,ALERTA 4 INVIERNO CONTINENTAL,ALERTA 1 INVIERNO ALTIPLÁNICO,ALERTA 1 INVIERNO CONTINENTAL,A,OP_INV,
alternativa,"NO SE PODRÁ OPTAR A LICENCIA INTERNA SI AL PRESENTAR LA HOJA DE VIDA DE CONDUCTOR, ESTA PRESENTA SANCIONES GRAVES O GRAVÍSIMAS, ¿A CONTAR DE?",12 MESES,6 MESES,9 MESES,3 MESES,A,REG_INT_TRANS,
alternativa,"PARA ESTACIONARSE AL FRENTE DE UN CAMIÓN REGADOR EN PENDIENTE POSITIVA Y NEGATIVA, ¿CUÁLES SON LAS DISTANCIAS?","POSITIVA: 8 MTS DE DISTANCIA , NEGATIVA: 50 MTS DE DISTANCIA","POSITIVA: 50 MTS DE DISTANCIA , NEGATIVA: 8 MTS DE DISTANCIA","POSITIVA: 7 MTS DE DISTANCIA , NEGATIVA: 50 MTS DE DISTANCIA","POSITIVA: 10 MTS DE DISTANCIA , NEGATIVA: 50 MTS DE DISTANCIA",A,REG_INT_TRANS,
alternativa,"SEGUN REGLAMENTO OPERACIÓN INVIERNO, ¿LOS FURGONES ESTÁN DEFINIDOS COMO?",VEHÍCULOS LIVIANOS,TRANSPORTE DE PERSONAL,VEHÍCULOS DE PERSONAL,TRANSPORTE LIVIANO,A,OP_INV,
alternativa,"SON TODAS LAS ÁREAS DE CIRCULACIÓN DE EQUIPOS MINEROS EN GENERAL, YA SEA EN EL AREA DE CARGUÍO, CAMINOS DE LA MINA, ÁREAS DE ACCESO A CHANCADO, BOTADEROS, ACOPIOS EN GENERAL, TALLERES DE MANTENCIÓN Y ESTACIONES DE COMBUSTIBLES. ¿ESTA DEFINICIÓN PERTENECE A?",VÍAS DE CIRCULACIÓN MINA,CABECERA DE RAMPA,RAMPAS DE CIRCULACIÓN,ACCESOS A LA MINA,A,REG_INT_TRANS,
alternativa,"UN VEHÍCULO DE CARRETERA NO FRECUENTE, ¿TIENE UN INGRESO A FAENA NO SUPERIOR A:",1 VEZ AL MES,1 VEZ AL AÑO,CADA 6 MESES,CADA 3 MESES,A,REG_INT_TRANS,
alternativa,VEHÍCULOS DE CARRETERA CORRESPONDE AL EPF...,1,2,3,4,A,EPF,
alternativa,PROTECCIÓN DE EQUIPOS CORRESPONDE AL EPF...,4,2,6,8,A,EPF,
alternativa,OPERACIÓN DE LEVANTE CORRESPONDE AL EPF...,7,6,5,4,A,EPF,
alternativa,¿A CUÁNTO SE PUEDE ESTACIONAR  A LA DERECHA DE UN CAEX?,A 8 MTS,30 MTS CON PÉRTIGA Y BALIZA A LA ALTURA DE LA CABINA DEL OPERADOR,A 10 MTS,A 7 MTS,B,REG_INT_TRANS,
alternativa,¿A CUÁNTO SE PUEDE ESTACIONAR ALREDEDOR DE UN CAEX EN PENDIENTE POSITIVA?,A 10 MTS,8 MTS ADELANTE Y 50 MTS ATRÁS,50 MTS ADELANTE Y 8 MTS ATRÁS,A 7 MTS,B,REG_INT_TRANS,
alternativa,¿A CUÁNTO SE PUEDE ESTACIONAR ALREDEDOR DE UN CAEX EN PENDIENTE NEGATIVA?,A 7 MTS,50 MTS ADELANTE Y 8 MTS ATRÁS,8 MTS ADELANTE Y 50 MTS ATRÁS,A 10 MTS,B,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE PUEDE CIRCULAR DETRÁS DE UN CAEX?,A 100 MTS DE DISTANCIA EN CONDICIONES NORMALES Y AL DOBLE EN CONDICIONES ADVERSAS,A 50 MTS DE DISTANCIA EN CONDICIONES NORMALES Y AL DOBLE EN CONDICIONES ADVERSAS,"A NINGUNA, ESTÁ PROHIBÍDO",A 80 MTS DE DISTANCIA EN CONDICIONES NORMALES Y AL DOBLE EN CONDICIONES ADVERSAS,B,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE PUEDE ESTACIONAR AL BORDE DE UN BANCO?,A MÍNIMO 7 MTS DE DISTANCIA,A MÍNIMO 6 MTS DE DISTANCIA,A MÍNIMO 10 MTS DE DISTANCIA,A MÍNIMO 8 MTS DE DISTANCIA,B,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE PUEDE ESTACIONAR UN VEHÍCULO A LA DERECHA DE UN CARGADOR FRONTAL CATERPILLAR 988 K?,A 10 MTS,A 5 MTS,30 MTS CON PÉRTIGA VISIBLE,A 7 MTS,B,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE PUEDE ESTACIONAR UN VEHÍCULO EN PENDIENTE POSITIVA ATRÁS DE UN CARGADOR FRONTAL CATERPILLAR 988 K?,A 100 MTS,A 50 MTS,A 30 MTS,A 20 MTS,B,REG_INT_TRANS,
alternativa,¿A QUIÉN SE LE SOLICITA AUTORIZACIÓN PARA INGRESAR A UN BOTADERO QUE NO TIENE EQUIPO DE APOYO TRABAJANDO?,AL JEFE TURNO MINA,AL JEFE DE EQUIPOS DE APOYO,AL OPERADOR DE LA EXCAVADORA,AL OPERADOR DEL EQUIPO DE CARGUÍO,B,REG_INT_TRANS,
alternativa,¿ÁREA DE VACIADO ES?," EL SECTOR DENTRO DE LOS BOTADEROS, STOCK O ACOPIO DEL CHANCADO DONDE CARGAN LOS CAMIONES","EL SECTOR DENTRO DE LOS BOTADEROS, STOCK O ACOPIO DEL CHANCADO DONDE DESCARGAN LOS CAMIONES","EL SECTOR FUERA DE LOS BOTADEROS, STOCK O ACOPIO DEL CHANCADO DONDE DESCARGAN LOS CAMIONES","EL SECTOR DENTRO DE LOS BOTADEROS, STOCK O ACOPIO DEL CHANCADO DONDE ESTACIONAN LOS CAMIONES",B,REG_CARGIO,
alternativa,¿CON CUÁNTO PORCENTAJE SE APRUEBA LA INDUCCIÓN MINA Y CUÁNTO DURA?,CON 80% Y DURA 3 AÑOS,CON 90% Y DURA 3 AÑOS,CON 90% Y DURA 2 AÑOS,CON 80% Y DURA 2 AÑOS,B,REG_INT_TRANS,
alternativa,¿CON CUÁNTO TIEMPO DE ANTICIPACIÓN SE PUEDE REALIZAR EL PROCESO DE RENOVACIÓN DE LA LICENCIA INTERNA ROJA?,CON 30 DÍAS DE ANTICIPACIÓN,CON 60 DÍAS DE ANTICIPACIÓN,CON 90 DÍAS DE ANTICIPACIÓN,CON 45 DÍAS DE ANTICIPACIÓN,B,REG_INT_TRANS,
alternativa,¿CUÁL ES LA ESTRUCTURA DE LOS EPF?,"PROCEDIMIENTOS ASOCIADOS A PLANTA Y EQUIPOS, SISTEMA Y REQUERIMIENTOS, PERSONAL","REQUERIMIENTOS ASOCIADOS A PLANTA Y EQUIPOS, SISTEMA Y PROCEDIMIENTOS, PERSONAL","REQUERIMIENTOS ASOCIADOS A PLANTA, SISTEMA Y EQUIPOS , PERSONALY PROCEDIMIENTOS","PROCEDIMIENTOS ASOCIADOS A PLANTA Y REQUERIMIENTOS , SISTEMA Y EQUIPOS, PERSONAL",B,EPF,
alternativa,¿CUÁL ES LA ÚLTIMA OPCIÓN PARA ESTACIONARSE ALREDEDOR DE UNA EXCAVADORA?,EL LADO IZQUIERDO,EL LADO DERECHO,AL FRENTE,ATRÁS,B,REG_INT_TRANS,
alternativa,¿DISTANCIA QUE DEBE TENER UNA ESCOLTA?,A NO MÁS DE 80 MTS Y NO MENOS DE 100 MTS DEL EQUIPO ESCOLTADO,A NO MÁS DE 100 MTS Y NO MENOS DE 80 MTS DEL EQUIPO ESCOLTADO,A NO MÁS DE 50 MTS Y NO MENOS DE 80 MTS DEL EQUIPO ESCOLTADO,A NO MÁS DE 50 MTS Y NO MENOS DE 100 MTS DEL EQUIPO ESCOLTADO,B,REG_INT_TRANS,
alternativa,¿EN CUÁLES CONDICIONES SE NECESITAN 2 ESCOLTAS?,AL ESCOLTAR UN VEHÍCULO CON CARGA SOBREDIMENSIONADA O MÁS DE 3 VEHÍCULOS NO LIVIANOS,AL ESCOLTAR UN VEHÍCULO CON CARGA SOBREDIMENSIONADA O MÁS DE 4 VEHÍCULOS NO LIVIANOS,AL ESCOLTAR UN VEHÍCULO CON CARGA SOBREDIMENSIONADA O MÁS DE 2 VEHÍCULOS NO LIVIANOS,AL ESCOLTAR UN VEHÍCULO CON CARGA SOBREDIMENSIONADA O MÁS DE 5 VEHÍCULOS NO LIVIANOS,B,REG_INT_TRANS,
alternativa,¿EN DÓNDE SE PIDE AUTORIZACIÓN PARA ADELANTAR A UN CAEX?,A 80 MTS DE DISTANCIA DEL CAEX,A 50 MTS DE DISTANCIA DEL CAEX,A 100 MTS DE DISTANCIA DEL CAEX,A 150 MTS DE DISTANCIA DEL CAEX.,B,REG_INT_TRANS,
alternativa,¿EXTENSIÓN DE LA PÉRTIGA DESDE EL PISO A SU EXTREMO?,"3,6 MTS DE LARGO","4,6 MTS DE LARGO","5,6 MTS DE LARGO","6,6 MTS DE LARGO",B,REG_INT_TRANS,
alternativa,¿FRECUENCIA DE PLATAFORMA INVIERNO?,OP INV,COOR MANT,COOR MIN,OP ICV,B,EPF,
alternativa,¿LA CAMIONETA DEBE CONTAR CON CINTURONES DE QUE TIPO?,2 PUNTAS,3 PUNTAS,4 PUNTAS,5 PUNTAS,B,REG_INT_TRANS,
alternativa,¿PARA QUÉ TIPO DE INCENDIO ES UN EXTINTOR CLASE C?,MULTIPROPÓSITO,PARA FUEGOS DE ORIGEN ELÉCTRICO,"PARA FUEGOS CON COMBUSTIBLES SÓLIDOS COMO ROPA, CARTÓN, PAPEL, PLÁSTICO, MADERA",PARA FUEGOS CON COMBUSTIBLES LÍQUIDOS COMO GASOLINA Y PINTURA,B,EXTINTORES,
alternativa,¿QUÉ ALTURA TIENE EL PRETIL DE REFERENCIA EN BOTADEROS?,SOBRE 3 MTS,SOBRE 2 MTS,2/3 DE LA ALTURA DEL NEUMÁTICO DEL CAEX,"SOBRE 2,5 MTS",B,REG_CARGIO,
alternativa,¿QUÉ ALTURA TIENE EL PRETIL DE TRÁNSITO?,"SOBRE 2,5 MTS",2/3 DE LA ALTURA DEL NEUMÁTICO DEL CAEX,SOBRE 2 MTS,SOBRE 3 MTS,B,REG_INT_TRANS,
alternativa,¿QUÉ COLOR DE CINTAS REFLECTANTES SON REGLAMENTARIAS EN UNA CAMIONETA?,VERDES,BLANCAS Y AMARILLAS,ROJAS Y NARANJAS,AMARILLAS Y MEGRAS,B,REG_INT_TRANS,
alternativa,¿QUÉ DEFINE LA CANTIDAD DE OCUPANTES EN UNA CAMIONETA EN LA MINA?,NÚMERO DE ASIENTOS,LA CANTIDAD DE PUERTAS,NÚMERO DE CABECERAS DE ASIENTOS,NINGUNA DE LAS ANTERIORES,B,REG_INT_TRANS,
alternativa,¿QUÉ ELEMENTOS DEBE UTILIZAR EL PERSONAL DENTRO DE UN VEHÍCULO EN ALERTA 3 Y 4 DEL INVIERNO ALTIPLÁNICO?,CASCO Y MASCARILLA,CASCO Y PROTECTOR AUDITIVO,CASCO Y LENTES CON FILTRO UV,CASCO Y GUANTES DE CABRITILLA,B,OP_INV,
alternativa,¿QUÉ FRECUENCIA CORRESPONDE AL STOCK CR04? (CHANCADO).,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,B,EPF,
alternativa,¿QUÉ INDICAN LAS SIGLAS ME EN LA PANTALLA ALFANUMÉRICA DE UN CAEX?,MANTENCION EJECUTÁNDOSE,FALLA MECÁNICA,MOTOR ENCENDIDO,MECANIC ENGINE,B,REG_INT_TRANS,
alternativa,¿QUÉ SIGNIFICA ESED?,EMPRESA DE SERVICIO EXENTA Y DIRECTA,EMPRESA DE SERVICIO EXTERNA DIRECTA,EMPRESA DE SERVICIO ESPECIAL DIRECTA,EMPRESA DE SERVICIO EJECUTORA DIRECTA,B,REG_INT_TRANS,
alternativa,¿QUÉ TIPO DE ZONA SEGURA ES UNA CAMIONETA?,ZONA SEGURA PERMANENTE,ZONA SEGURA TRANSITORIA,ZONA PROTEGIDA PERMANENTE,ZONA PROTEGIDA TRANSITORIA,B,OP_INV,
alternativa,¿QUÉ TOMA EN CUENTA UD PARA ESTACIONAR ADELANTE O ATRÁS DE UN BULLDOZER U ORUGA?,LA DISTANCIA AL PETRIL,"LAS PENDIENTES, POSITIVA O NEGATIVA",POSIBLES CURVAS EN LA VÍA,INTERSECCIONES Y CABECERAS DE RAMPA,B,REG_INT_TRANS,
